label	text_a
芝罘岛	芝罘岛骑车去过几次，它挺壮观的，毕竟是我国典型的也是最大的陆连岛咯!我喜欢去那儿，反正全岛免费咯啊哈哈哈！风景的确不错而且海水也很干净，有些地方还是军事管理，禁地来着，但是我认识军官。
泽拉图	泽拉图（1865-2506）是暴雪娱乐开发的即时战略游戏星际争霸中的星灵角色。
鸟人	《鸟人》一书以鸟博士的遭遇作为主线，主要写了鸟博士从校园出来后的种种荒诞经历。
南宫市悬空寺	南宫市悬空寺，历史悠久，相传始建于汉朝，汉朝时悬空村为巨鹿郡厝县、信城县县城驻地，唐朝史料曾有记载。
唐家三少	唐家三少，本名张威。
加勒	加勒有用高大厚实的石头砌成的城墙。
李庄镇	李庄镇地处山东省惠民县南部25公里处，据传明朝前期至清朝时期为青龙镇，清朝后期更名为李庄镇。
专利申请	专利申请是获得专利权的必须程序。
滇池	随着环湖战略的落实，滇池周边修起了环湖路，以及大大小小的湿地公园，在改善水质的同时也吸引骑行客和市民自驾游。
王毅	王毅，男，中共党员，现任江苏工程职业技术学院党委副书记、院长。
袁家山	又称袁家山、吕祖庙，在河南省历史文化名城睢县城东南隅，是一处全国罕见的明代船形建筑群，为河南省重点文物保护单位。
新天生一对	《新天生一对》是一部改编自1984年台湾电影《天生一对》的合家欢贺岁喜剧电影，由台湾导演朱延平执导，周渝民、陈嘉桦、杨幂、小小彬等主演。
杜甫草堂	杜甫草堂，全国重点文物保护单位，国家AAAA级旅游景区，国家一级博物馆，全国古籍重点保护单位。
朱国华	朱国华，四川仪陇人，朱德的孙子，1957年生，1983年被判死刑。
兽血沸腾	《兽血沸腾》是由百游汇通公司根据同名人气网络小说改编，自主开发的一款大型种族战争网游。
西门町	西门町位于台北市万华区东北方，是台北西区最重要的消费商圈。
周毅	周毅，男，中英双语主持人，双语主持人新秀，1989年出生的他，已经在双语主持的道路上崭露头角，活跃于各大时尚活动，party的自由主持人。
武林广场CBD	武林广场CBD:杭州最繁华的商业区武林门-延安路-解放路一带商厦林立，那里汇聚了杭州最大的百货公司、购物中心以及百余家品牌专卖店。
卡琳娜·卡普	卡琳娜·卡普(Kareena  kapoor)（又译：卡任娜·卡普，1980年9月21日—），印度女演员。
大法幢寺	大法幢寺在酒泉市的肃州城里，在市区内坐1路或者16路公交到工贸中专站下车，向东500米可以到大法幢寺。
